School,Make Tournament,Conference Champ,Last 12 Wins,Conference Finish,RPI Rank,NET Rank,Conference,Record,Adj. Offensive Efficiency,OE Rank,Adj. Defensive Efficiency,DE Rank,Barthag,Barthag Rank,Conference Record,SOS,Non-Conf SOS,Conference SOS,Conference Win %,Wins Above Bubble,WAB Rank
Houston Baptist,0,0,7,7,304,290,Slnd,10-18,102.06753300776542,198,111.5243820931023,316,0.2652225427514898,273,8-10,0.39768550834867594,0.6476115773286983,0.27296658768598714,0.4444444444444444,-13.115641708407649,265
Howard,0,0,8,3,302,306,MEAC,14-16,101.22250101043377,217,114.7881063314448,343,0.19056884367116905,312,10-6,0.28375216182299573,0.48695135650752946,0.13822502598662256,0.625,-12.867996752604622,256
Idaho,0,0,1,11,344,338,BSky,3-26,94.30174856644928,321,118.05160158020593,351,0.07023049251628516,345,2-18,0.34811602409421133,0.4289639331051719,0.32010725684944136,0.1,-23.443785292967696,353
Idaho State,0,0,4,10,275,307,BSky,9-19,102.46564189875409,189,116.52524448696212,348,0.18562769832851875,313,7-13,0.38598462056320154,0.6263081424036885,0.3083697318505683,0.35,-14.359258251652648,289
Illinois,0,0,6,10,174,109,B10,12-21,110.20716283791218,52,98.80026884416887,94,0.7784243978644587,63,7-13,0.7645445231987584,0.5989345180774923,0.8526847893374097,0.35,-5.593419389082343,128
Illinois-Chicago,0,0,7,4,222,215,Horz,14-16,100.21335679170323,238,101.54610371664067,139,0.46209001110637,179,10-8,0.4573369162967154,0.5279062133859133,0.4138369465087138,0.5555555555555556,-10.097697444999227,207
Illinois State,0,0,5,5,179,199,MVC,16-16,100.14910127946251,242,103.77424453741152,178,0.39917258898537666,204,9-9,0.509291792017135,0.5626423217528957,0.4780599914390732,0.5,-9.079514478814499,192
Incarnate Word,0,0,0,13,345,347,Slnd,2-25,97.36663435521174,284,118.64665224908453,353,0.09337027800522417,340,1-17,0.39638294173264865,0.5907808594600091,0.2991839828689685,0.05555555555555555,-20.261830691451344,345
Indiana,0,0,5,8,97,54,B10,17-15,108.46683194687668,77,95.06154990692599,34,0.8201078460971358,49,8-12,0.7367789137088375,0.5125453427736727,0.8551936302010439,0.4,-0.010784447479777248,51
Indiana State,0,0,5,8,188,198,MVC,13-16,100.75301298980716,226,104.33493983844693,190,0.40089358321356133,201,7-11,0.5128373925264144,0.5899753665933478,0.4778730722771841,0.3888888888888889,-9.552898895906718,198
Iona,1,1,8,1,201,202,MAAC,17-15,104.82918631119763,145,109.24874767633159,285,0.38345852256700097,213,12-6,0.35933153231272597,0.5148397673512123,0.27804708016198804,0.6666666666666666,-10.47154347060256,211
Iowa,1,0,5,6,54,43,B10,22-11,116.56224465551131,15,100.39374503766564,120,0.8477734299077251,40,10-10,0.7026878774088658,0.4078471111118672,0.8476982777135806,0.5,3.1661549103772955,27
Iowa State,1,1,6,5,33,21,B12,23-11,118.69529384165916,10,96.84809029303136,63,0.9120786685144897,18,9-9,0.7164763336555167,0.5060368925683215,0.8405717125040187,0.5,4.217088061763375,22
IUPUI,0,0,5,6,247,207,Horz,14-16,102.60319165432685,184,106.29279935706012,235,0.3998049702732163,203,8-10,0.4374267568361048,0.4398620614905726,0.42059166287260447,0.4444444444444444,-10.482222113613123,212
Jackson State,0,0,7,3,321,328,SWAC,11-19,89.75635369589887,340,104.26473973805709,187,0.15147282945734233,323,10-8,0.32269212972363986,0.6013503034576221,0.1656866060477992,0.5555555555555556,-14.559543136359274,293
Jacksonville,0,0,4,7,307,289,ASun,10-20,97.09783719287282,287,106.45952304812947,238,0.25759122233728593,281,5-11,0.411854612399229,0.4021608731059136,0.39677993959226726,0.3125,-14.292585691953624,288
Jacksonville State,0,0,9,3,123,130,OVC,22-9,103.21087898328915,173,99.5067454075141,106,0.603557794936785,131,15-3,0.39564637661552304,0.47852223156854273,0.3322869744297703,0.8333333333333334,-3.240199302934516,91
James Madison,0,0,4,8,260,252,CAA,12-19,100.21901317000192,237,110.01450384406401,294,0.25494232186273635,285,6-12,0.41047632862260364,0.40495684704743345,0.40873595533191137,0.3333333333333333,-14.188728975331538,287
Kansas,1,0,7,3,2,20,B12,25-9,112.24339850617636,33,92.24386397050762,17,0.9052260758967073,20,12-6,0.793725713542771,0.7183586775293952,0.8413527025490617,0.6666666666666666,8.24476544827841,8
Kansas State,1,0,9,1,15,24,B12,25-8,107.84601195222359,88,87.52975251245267,4,0.9168535883851088,17,14-4,0.7188204928987794,0.5267511414019547,0.8400267134528425,0.7777777777777778,6.4616459425669746,14
Kennesaw State,0,0,3,8,334,343,ASun,4-26,91.0869838989025,339,109.1651757712431,284,0.11085446524909913,336,3-13,0.5030671955379992,0.5859964980769042,0.4152198798617897,0.1875,-18.601842118279688,338
Kent State,0,0,7,3,80,138,MAC,20-10,108.7921148045909,69,105.50203582633944,219,0.5873809921678613,138,11-7,0.528699007814331,0.4274688352028379,0.5858844918478637,0.6111111111111112,-2.7320698815465096,81
Kentucky,1,0,10,2,6,6,SEC,27-6,117.7329377181085,12,90.70438792366907,12,0.952544775151013,9,15-3,0.7155016994711054,0.5616653722821655,0.8086058535711579,0.8333333333333334,8.727791348667049,7
La Salle,0,0,6,9,266,214,A10,10-21,99.8784572590691,248,102.03217986802014,148,0.43896990788577245,186,8-10,0.5371196918145764,0.540925875654159,0.5307891429704824,0.4444444444444444,-13.381284815650718,270
Lafayette,0,0,5,7,271,280,Pat,9-20,100.55094443212178,231,112.65168321430745,330,0.21302027294246836,301,7-11,0.40206295255680047,0.424567154917875,0.3981853303902796,0.3888888888888889,-15.725871226816615,310
Lamar,0,0,10,3,206,220,Slnd,16-13,103.05120745399594,178,107.0099117518006,250,0.39329145947133837,209,12-6,0.33742288196183645,0.5182711930955693,0.25429662453551083,0.6666666666666666,-9.026406163392181,189
Lehigh,0,0,8,3,111,159,Pat,20-11,107.50306353400265,96,108.34314244986174,270,0.4776356733025057,175,12-6,0.4172683990763593,0.49346036345994465,0.36926991267022363,0.6666666666666666,-5.517723713330632,126
Liberty,1,1,10,1,83,58,ASun,25-6,108.33170765173091,78,99.84443679334206,110,0.718740422949871,79,14-2,0.394181990338547,0.4480425074739314,0.34029668569672833,0.875,-0.6271707911760256,59
Lipscomb,0,0,10,1,73,49,ASun,23-7,108.83433005302106,67,97.4766399298322,69,0.7803079202723487,62,14-2,0.44057984273668105,0.6220430999525625,0.33265177493031717,0.875,-0.5062258625507717,57
Little Rock,0,0,3,11,281,236,SB,8-21,98.3709051916177,268,104.06529545797744,184,0.34363323613967195,228,5-13,0.47851728676721056,0.4550839322199472,0.4928376701016496,0.2777777777777778,-14.961817765178493,298
Long Island University,0,0,6,5,250,250,NEC,15-16,97.47050469930824,281,105.20244992151015,211,0.2936187648577206,259,9-9,0.2939697454833474,0.3635298366976016,0.24264914854315636,0.5,-13.07040839419757,262
Longwood,0,0,3,9,315,291,BSth,12-17,95.24763747684152,312,106.74971087111439,245,0.2123066063934662,302,5-11,0.3456436908515742,0.3012476262310637,0.3709283491067291,0.3125,-13.050169881528616,261
Louisiana,0,0,7,5,143,192,SB,17-13,106.5053557579729,117,106.86848709447035,248,0.490215573669136,164,10-8,0.4887792825332177,0.4742591384274904,0.5026463661269827,0.5555555555555556,-6.4925098761030835,142
Louisiana-Monroe,0,0,5,6,172,151,SB,17-15,111.48105667679518,39,108.59846371978941,275,0.5747530301828382,141,9-9,0.47720009210694597,0.4303240007913685,0.4934880535494021,0.5,-7.485633435524953,161
Louisiana State,1,0,10,1,13,14,SEC,26-6,118.73311432754204,9,96.97295689094727,64,0.9111801178552458,19,16-2,0.7085737487558106,0.5852103183712246,0.7876169966432612,0.8888888888888888,7.263394142719292,11
Louisiana Tech,0,0,6,8,106,119,CUSA,18-13,102.9311888928925,179,101.4703455169061,137,0.5410032556569563,151,9-9,0.4695437494795648,0.4318430220264395,0.4802199632503544,0.5,-7.0327044902278075,153
Louisville,1,0,5,6,32,22,ACC,20-13,113.16111260499352,27,91.19805579094958,14,0.9228317263795174,14,10-8,0.7352852739980771,0.610581942303676,0.813740832171215,0.5555555555555556,2.2300616967557296,32
Loyola (IL),0,0,7,1,130,128,MVC,19-13,104.6151978496733,151,98.74464227580273,93,0.6601907606260288,110,12-6,0.4690134838068485,0.5047361128943019,0.44974021209121484,0.6666666666666666,-7.226609061380851,158
Loyola (MD),0,0,4,7,277,281,Pat,11-21,100.27093600825572,236,109.09809567426495,280,0.27482611324656886,268,7-11,0.41636587639138256,0.4510674908248023,0.39135661026386326,0.3888888888888889,-15.118590800692452,300
Loyola Marymount,0,0,7,5,122,142,WCC,18-11,102.9285793603526,180,99.30417948932822,98,0.6016268714451278,134,8-8,0.5050939152662388,0.3910069311478148,0.5877175907262129,0.5,-4.013728868993251,105
Maine,0,0,2,8,336,335,AE,4-27,93.30849021935049,330,110.76091008493478,307,0.12219328424742189,333,3-13,0.4237025841424842,0.5115085160138336,0.3240063328251504,0.1875,-20.91973854106226,349
Manhattan,0,0,6,7,316,318,MAAC,11-21,89.23552717527502,343,103.73687575822609,177,0.15037643598493006,324,8-10,0.3282907594778559,0.4034315550566192,0.2862794724029621,0.4444444444444444,-17.397050045931092,329
Marist,0,0,5,8,286,278,MAAC,12-19,100.71649306170863,227,107.48231129150417,258,0.3213243556103912,241,7-11,0.3289667136180553,0.41495164637591336,0.2797988751179299,0.3888888888888889,-15.176458661414197,301
Marquette,1,0,7,2,30,28,BE,24-9,113.11372261313173,28,95.15877228951527,37,0.8795037951371513,28,12-6,0.6770692215021635,0.5350847902206886,0.7659826013199202,0.6666666666666666,2.65915514876712,29
Marshall,0,0,6,2,100,148,CUSA,19-14,106.74640658141833,108,108.03385028841163,265,0.46558721818528714,178,11-7,0.506732999693849,0.5379869823056602,0.48447919026637265,0.6111111111111112,-6.482205455744178,141
Maryland,1,0,6,5,28,27,B10,22-10,112.70984873515303,30,93.03677501087927,23,0.9007827798376458,22,13-7,0.7191011834780424,0.44437526443932585,0.8639233836064367,0.65,4.137897585033803,23
Maryland-Baltimore County,0,0,9,3,196,226,AE,18-13,94.81418794177611,317,101.2239546766957,129,0.32032289296250144,243,11-5,0.3580559267219916,0.4156121695977974,0.2992640204762826,0.6875,-8.122571474886417,170
Maryland-Eastern Shore,0,0,5,9,348,352,MEAC,5-25,85.71025973508594,351,115.02144705950741,345,0.0328411698342643,353,5-11,0.3402149646039086,0.5850496903303892,0.1566997610890215,0.3125,-19.934663773932193,341
Massachusetts,0,0,4,12,269,224,A10,11-21,102.58452108367663,185,108.38722466882427,271,0.34688350773582094,227,4-14,0.49734958975991644,0.42642104411384757,0.5613198089047302,0.2222222222222222,-13.869386761993454,280
Massachusetts-Lowell,0,0,5,5,252,257,AE,13-17,101.83525733589212,203,112.86556723392266,334,0.2345720766164591,295,7-9,0.34644828529208826,0.3813344943601059,0.30987133402021716,0.4375,-13.014982547013169,258
McNeese State,0,0,3,12,333,326,Slnd,6-21,96.92955638537488,292,113.56697230184432,338,0.13923064579621056,326,5-13,0.37584519556148993,0.577349920196253,0.2750928332441085,0.2777777777777778,-17.421402116506318,330
Memphis,0,0,7,5,49,46,Amer,21-13,108.1875406040913,81,97.04771364448436,65,0.7772357643811825,65,11-7,0.6038810216636561,0.520214005226775,0.6561144092204269,0.6111111111111112,-1.4286273437949522,66
Mercer,0,0,5,6,253,216,SC,9-20,102.5665836504462,186,105.44827771038261,216,0.42100564587380335,196,6-12,0.5442184855704032,0.5463411271108063,0.5293181823623343,0.3333333333333333,-12.241860848774355,244
Miami (FL),0,0,4,11,128,92,ACC,14-18,109.83024066794322,59,98.33783004707195,88,0.780924452666675,61,5-13,0.6851269095039519,0.4789287549357924,0.8171834122973815,0.2777777777777778,-5.108591264351013,121
Miami (OH),0,0,5,5,149,146,MAC,13-17,103.17070129908493,176,101.2222886334485,128,0.5545960154185243,144,7-11,0.5817602986155792,0.5105869779409584,0.6170023392217884,0.3888888888888889,-8.776101612948914,182
Michigan,1,0,8,3,12,9,B10,28-5,115.9430979518659,16,85.70015582943151,1,0.9699917801230673,4,15-5,0.7187436189380823,0.45157489725609673,0.8535619917892164,0.75,9.34704029940923,6
Michigan State,1,1,8,1,10,8,B10,27-6,120.18414219366431,6,91.43933914242503,15,0.958652506862354,6,16-4,0.7606667164079792,0.5802814022912849,0.8480375810966105,0.8,9.782856638339394,5
Middle Tennessee,0,0,6,9,243,248,CUSA,9-21,96.96858129637337,289,103.71401150118876,176,0.31574898177047633,247,8-10,0.5440138243185423,0.720432956747394,0.4361172502482867,0.4444444444444444,-13.363877695244634,269
Milwaukee,0,0,1,10,319,299,Horz,8-22,98.35731395562925,269,107.61494578015325,260,0.26222127257713324,274,4-14,0.4473921299820239,0.4650393619221287,0.4356273086886207,0.2222222222222222,-16.162793635925773,315
Minnesota,1,0,5,7,37,61,B10,21-13,110.07901033216055,54,95.77038270088633,44,0.8322022894435652,45,9-11,0.7421856651725045,0.4756707427744045,0.8604274225678324,0.45,2.6546005025412707,30
Mississippi,1,0,6,6,63,36,SEC,20-12,112.97864669571206,29,96.55994906571135,59,0.858865624015626,38,10-8,0.687568137608272,0.5092852914772329,0.8101518505644998,0.5555555555555556,0.8823604923124385,43
Mississippi State,1,0,7,6,24,19,SEC,23-10,116.58167047180768,14,96.30789057244996,54,0.8999780578352866,23,10-8,0.7286030932616715,0.5845619239950008,0.8210994662957743,0.5555555555555556,4.466662270192817,21
Mississippi Valley State,0,0,3,9,350,349,SWAC,5-26,89.59884237348086,341,113.39032413429663,337,0.062492563764424434,348,4-14,0.357040786618624,0.6080021331233514,0.17579092525409842,0.2222222222222222,-20.232191454537364,342
Missouri,0,0,4,12,129,77,SEC,15-17,107.05878161261896,103,95.24122904445582,38,0.7933271965953331,54,5-13,0.7159336437837255,0.5631893651746144,0.8112769445248172,0.2777777777777778,-3.1031487351466445,88
Missouri-Kansas City,0,0,4,7,249,225,WAC,10-21,99.55346788068,254,106.00377835487859,232,0.32695964483937734,237,6-10,0.5074870893690021,0.5228958834682174,0.4853920265899357,0.375,-13.696643344712827,277
Missouri State,0,0,8,3,185,162,MVC,15-16,101.74458456750199,205,102.40386428002223,155,0.4814393416025053,167,10-8,0.4687349985736244,0.46673246025922777,0.4691409188649545,0.5555555555555556,-9.93652440525564,204
Monmouth,0,0,6,6,221,287,MAAC,14-21,92.79972002438134,333,102.20221731221298,150,0.24789659245905452,289,10-8,0.3930978851959014,0.57808989486445606,0.28216942697684155,0.5555555555555556,-15.434980416271475,306
Montana,1,1,10,1,82,124,BSky,24-8,106.59316104781004,116,103.20290673990358,167,0.5918713515447618,137,16-4,0.36737260870891486,0.6044936763978259,0.2684611162922232,0.8,-3.278665207813985,92
Montana State,0,0,7,4,241,246,BSky,14-17,105.4769250593084,133,115.4417043142469,346,0.26150809694237304,276,11-9,0.37035955553334327,0.5632636016822721,0.30079882430140187,0.55,-12.306277585731285,248
Morehead State,0,0,5,5,226,264,OVC,11-20,100.99375004009381,224,109.6353139153493,291,0.28006074769033557,262,8-10,0.4872472536290111,0.6111918078603357,0.424106945607358,0.4444444444444444,-12.683907807782743,253
Morgan State,0,0,2,11,342,333,MEAC,8-20,91.35982503251239,338,111.43531812488226,314,0.09242803001019288,341,4-12,0.2668720091083854,0.48795185421573967,0.12714315528851797,0.25,-17.330157306649895,328
Mount St. Mary's,0,0,5,9,297,319,NEC,7-22,94.88410063727741,316,108.89183057028893,278,0.17029516190431923,317,6-12,0.37700051008760166,0.5745020011708354,0.2563051544256254,0.3333333333333333,-16.92877395105968,324
Murray State,1,1,10,1,40,44,OVC,25-4,110.04066417443732,56,99.32290328788133,99,0.7646687197192497,69,16-2,0.3971805507465264,0.4846845661339485,0.320163225163882,0.8888888888888888,1.1308577972959548,40
Navy,0,0,5,5,213,279,Pat,12-19,96.95597651854669,290,105.4491179938326,217,0.2757439142273395,266,8-10,0.4331431282437005,0.4721043862579208,0.3912556832236753,0.4444444444444444,-13.542554573663313,274
Nebraska,0,0,3,13,89,48,B10,17-16,111.4572494787974,40,96.19792661696388,52,0.8446422903345989,42,6-14,0.7636803360493009,0.5411766232740793,0.8612378981665495,0.3,-0.06412717687877062,52
Nevada,1,0,10,1,19,23,MWC,29-4,112.59639204154561,31,95.26029766532079,39,0.8724459332822881,32,15-3,0.552337612982026,0.5705780817418642,0.5282228453347899,0.8333333333333334,3.7915725044149475,25
Nevada-Las Vegas,0,0,6,4,170,157,MWC,17-14,104.77563351825125,147,105.53254400552487,221,0.47931715921789614,172,11-7,0.4872043606133605,0.4605461738459586,0.49975253682047543,0.6111111111111112,-7.581686824997546,164
New Hampshire,0,0,2,8,349,345,AE,3-24,83.45544411382328,353,106.00933316971313,233,0.06003223526709218,349,3-13,0.359165917506165,0.3987123708661404,0.3319777308211819,0.1875,-20.258160690053625,344
New Mexico,0,0,4,7,200,185,MWC,13-18,102.66228929073722,183,104.45420908337563,192,0.4504147262382092,182,7-11,0.5314724538931089,0.5264525037401173,0.5355693456388644,0.3888888888888889,-10.356210483785484,209
New Mexico State,1,1,12,1,44,40,WAC,28-4,111.7744508301941,38,98.17405790781885,85,0.8163815026902423,50,15-1,0.4356213169899934,0.46109763381053337,0.42531146615636234,0.9375,1.3617428238919522,38
New Orleans,0,0,8,3,212,266,Slnd,15-13,96.21682376823114,302,104.53090982662474,193,0.27826105466276685,263,12-6,0.36851767679717345,0.6385738238311083,0.24550401753233514,0.6666666666666666,-8.76714131525215,181
Niagara,0,0,4,9,309,301,MAAC,13-19,101.46225391935826,211,114.99748891413492,344,0.19153456661580892,311,6-12,0.31437037340706436,0.35744390772114437,0.28695469756492836,0.3333333333333333,-15.578435904219836,309
Nicholls State,0,0,4,9,313,313,Slnd,10-17,98.59588073281446,262,110.53557945249979,303,0.2117278495440457,303,7-11,0.3525527452657588,0.5421916222325248,0.2577333067823758,0.3888888888888889,-12.675390764999152,252
NJIT,0,0,6,5,133,172,ASun,20-12,98.8108887112096,259,102.57983150955677,159,0.39401037884396395,208,8-8,0.40217702080481793,0.39405894949936326,0.3799989544899038,0.5,-6.27062119709008,139
Norfolk State,0,0,10,1,203,260,MEAC,18-13,96.23284334169145,301,105.41909326709606,215,0.2595151224072332,279,14-2,0.2856897360310509,0.5236510724359376,0.12868143640004562,0.875,-9.01790922964013,188
North Alabama,0,0,4,6,285,310,ASun,7-22,94.12243250643235,324,105.07495182096531,205,0.21996138575082827,298,7-9,0.4977093777884901,0.6237976993136513,0.4014607519532106,0.4375,-14.720607230643463,294
North Carolina,1,0,11,1,4,7,ACC,27-6,120.69756902941825,5,90.45605775497395,9,0.9650031648570997,5,16-2,0.752852489108199,0.6109690114788303,0.8337870185387576,0.8888888888888888,9.893382820403453,4
North Carolina-Asheville,0,0,2,10,346,350,BSth,2-26,92.75319664637435,334,116.24542988915508,347,0.06937963801628032,346,2-14,0.4499875272842807,0.5607013633954652,0.37050687725253173,0.125,-20.843502765477254,347
North Carolina-Greensboro,0,0,10,2,31,60,SC,26-6,104.63576388950808,149,97.51654379091616,71,0.6921795327026194,92,15-3,0.4983749511074138,0.428116990776393,0.49987148055083036,0.8333333333333334,1.836822737819706,36
North Carolina-Wilmington,0,0,2,10,263,263,CAA,9-23,104.15870923965845,157,113.2693286896539,336,0.2760170272513253,264,5-13,0.46313855602410936,0.5472664828929633,0.4064152247002014,0.2777777777777778,-16.766035892675145,323
North Carolina A&T,0,0,9,2,219,294,MEAC,17-13,94.89929928761981,315,106.96230867142725,249,0.2016373358784543,305,13-3,0.3006977618971795,0.5481358835588784,0.13394728405683587,0.8125,-8.454473368066019,174
North Carolina Central,1,1,7,3,291,302,MEAC,15-15,96.85976355616386,294,107.61770479602524,261,0.2294903352479205,296,10-6,0.2727725493259997,0.5087448151197681,0.13074882733129128,0.625,-10.959315473661055,219
North Carolina State,0,0,6,8,96,33,ACC,22-11,112.20397993460884,35,95.78560716429828,45,0.8604904347490027,37,9-9,0.6246057409797974,0.34527030714439577,0.7912928669418281,0.5,1.855550235055702,35
North Dakota,0,0,5,7,296,285,Sum,8-18,97.39524796339572,283,104.66679632922737,196,0.3040571372623198,254,6-10,0.437657108513313,0.5098446486101488,0.39488146286360254,0.375,-12.822344131255155,255
North Dakota State,1,1,7,3,178,222,Sum,16-15,105.89836931744668,129,108.41617921076335,272,0.43285284022460113,190,9-7,0.4458184122575068,0.5635695051557371,0.3791022433261254,0.5625,-8.660898730807238,178
North Florida,0,0,6,3,169,190,ASun,14-17,102.31931728059439,192,104.32669551930144,189,0.44437343889253084,183,9-7,0.5126410179319817,0.68934649519111,0.3738513329525485,0.5625,-7.9640054774097315,168
North Texas,0,0,3,9,160,147,CUSA,18-12,97.41403340914857,282,97.32783402708526,67,0.502545123988451,158,8-10,0.4242436092062943,0.33780335934555317,0.46171345631074323,0.4444444444444444,-7.1085306160440345,154
Northeastern,1,1,10,2,46,78,CAA,23-10,109.65557541876032,60,101.90854252080999,145,0.699010071512397,89,14-4,0.4830371516072143,0.6597895106925615,0.3604016665294775,0.7777777777777778,-2.879025326385653,83
Northern Arizona,0,0,5,8,301,286,BSky,10-21,99.18748730619612,255,112.06492848868723,322,0.19721928798086863,309,8-12,0.36217699417841986,0.4823200526442145,0.30720667612764396,0.4,-16.71494638301387,321
Northern Colorado,0,0,9,2,155,169,BSky,19-11,102.07759271938365,197,102.80045191859861,161,0.47972365370054143,171,15-5,0.3346035510458155,0.46601454544478077,0.27939789402194914,0.75,-6.691530620001297,147
Northern Illinois,0,0,4,4,163,139,MAC,15-17,106.42850098879633,118,104.5631570581994,194,0.5506617188343425,147,8-10,0.5429339350767388,0.46331848726511615,0.5826712462727409,0.4444444444444444,-8.954293739421193,187
Northern Iowa,0,0,6,5,148,167,MVC,14-18,100.60532384176602,229,101.30722902929736,134,0.48002193368250395,170,9-9,0.5197992472606154,0.5981531355175739,0.46929441278352857,0.5,-11.073782989367377,221
Northern Kentucky,1,1,8,1,95,115,Horz,24-8,108.1221797701472,83,102.29439431674072,152,0.6541158489849666,116,13-5,0.4202063774370124,0.45376279690917143,0.39300334833047634,0.7222222222222222,-2.2699516489058755,73
Northwestern,0,0,1,14,195,89,B10,13-19,101.426036649048,212,92.59882257009806,19,0.7402203500441458,77,4-16,0.7108653493736834,0.44266394988587,0.8549981666673352,0.2,-5.722132449420626,133
Northwestern State,0,0,4,11,331,334,Slnd,8-20,89.35606362657936,342,109.02491889065809,279,0.09213048982288558,342,6-12,0.37118043682746116,0.5519700784436301,0.27074174704070053,0.3333333333333333,-14.9219426789582,297
Notre Dame,0,0,2,14,171,112,ACC,14-19,107.85230417074027,87,99.5827959513895,107,0.7145106480399197,80,3-15,0.6712021993622843,0.44830034335528246,0.8200105884755866,0.16666666666666666,-5.709361942714515,132
Oakland,0,0,7,3,214,211,Horz,15-17,106.26287325202614,124,107.08167342167073,252,0.47794614684435965,174,11-7,0.4617384641782479,0.5383543867083064,0.4121195660932629,0.6111111111111112,-10.360845269317206,210
Ohio,0,0,4,6,147,175,MAC,13-17,98.18366359047525,273,100.52964959104051,121,0.43252712468599047,191,6-12,0.585221729729747,0.5289973018480141,0.6171822212330872,0.3333333333333333,-8.720745137493694,180
Ohio State,1,0,5,8,74,55,B10,19-14,108.15081379127747,82,93.9247445609123,29,0.8350538641483277,44,8-12,0.7327502895200395,0.4944141028196277,0.8481722035092094,0.4,0.8314068395322308,45
Oklahoma,1,0,5,7,38,37,B12,19-13,108.67541693388708,74,93.2305410423919,25,0.8535647304207286,39,7-11,0.7853339543361323,0.705204151012135,0.8471993844542024,0.3888888888888889,2.4508368762535717,31
Oklahoma State,0,0,4,9,119,79,B12,12-20,108.99479395605258,65,100.93208874481023,124,0.7076091581010039,84,5-13,0.771063899052037,0.6378556123249258,0.8633983273705567,0.2777777777777778,-4.122597777428499,106
Old Dominion,1,1,9,1,71,100,CUSA,26-8,100.65886408765442,228,95.5568905803433,41,0.6452392333308226,119,13-5,0.46859792436867936,0.4293038345915944,0.4796132038696409,0.7222222222222222,-1.840190664690266,69
Omaha,0,0,10,2,125,178,Sum,20-11,108.67759012509723,73,109.7277725771158,292,0.4723795780608572,177,13-3,0.4341788228186647,0.5275707235721395,0.3694532647932422,0.8125,-4.635080226672622,116
Oral Roberts,0,0,4,5,303,296,Sum,9-21,103.49454491071766,168,112.6032060153087,329,0.27487257890380623,267,7-9,0.4858071436708062,0.5973537100221467,0.39848520247700786,0.4375,-14.365856658911174,290
Oregon,1,1,8,4,50,51,P12,23-12,106.34875376015867,122,92.55676852622642,18,0.831650346996763,46,10-8,0.6083969757369151,0.536339381246861,0.6488881473223634,0.5555555555555556,-1.2068819677601887,64
Oregon State,0,0,6,4,109,87,P12,18-13,110.2952571921833,51,103.83834623758901,179,0.6667993673649661,106,10-8,0.5976262681621682,0.48004365114816844,0.6670939799102107,0.5555555555555556,-3.9657512169846387,103
Pacific,0,0,3,9,187,210,WCC,12-18,98.29080438686665,272,102.33297309811552,153,0.38616372144284455,211,4-12,0.5424838222730555,0.4419240549103083,0.6235839398143694,0.25,-9.657043550707144,200
Penn State,0,0,7,10,92,50,B10,14-18,110.11822473563103,53,92.92596221307865,21,0.8756800296602598,31,7-13,0.7741929231975064,0.6111785102076319,0.8609503820295492,0.35,-2.8004094215948294,82
